,genre,href
100,reggaeton flow,https://embed.spotify.com/?uri=spotify:playlist:2HZIaMnfPMDf24XjrNXaMt
101,vocal jazz,https://embed.spotify.com/?uri=spotify:playlist:2ZazIXecBCVmTlbyKJHxOc
102,canadian hip hop,https://embed.spotify.com/?uri=spotify:playlist:5e1PICDGQN7VplhLeKVATy
103,quiet storm,https://embed.spotify.com/?uri=spotify:playlist:66k6nBXFo6of5ckPWCuCSi
104,pop punk,https://embed.spotify.com/?uri=spotify:playlist:5prkai2xWcnqLxwORZSYbN
105,psychedelic rock,https://embed.spotify.com/?uri=spotify:playlist:7mXRIC5bSB6ZWOEPNfP0hl
106,new romantic,https://embed.spotify.com/?uri=spotify:playlist:4c8FDUUCm33WYC9xztAGYT
107,singer-songwriter,https://embed.spotify.com/?uri=spotify:playlist:6gD9fCYGxsT9A8t3BHDVuj
108,easy listening,https://embed.spotify.com/?uri=spotify:playlist:47RSt6JBM6AbqBxtggW1Jk
109,british soul,https://embed.spotify.com/?uri=spotify:playlist:4Ar1S6TuqmS0R2RV59AR1k
110,glam rock,https://embed.spotify.com/?uri=spotify:playlist:71LnSyxXMKcxgJSAhC1KDK
111,conscious hip hop,https://embed.spotify.com/?uri=spotify:playlist:3IU0ZFCSvKNqASPNsWoPuj
112,slap house,https://embed.spotify.com/?uri=spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW
113,russian hip hop,https://embed.spotify.com/?uri=spotify:playlist:69d6UEZKkFtQNEDQyntv7S
114,miami hip hop,https://embed.spotify.com/?uri=spotify:playlist:4F2wv2RnXpmVW86K7Z2Es2
115,indietronica,https://embed.spotify.com/?uri=spotify:playlist:0yqVOsxA2U4P260ad60QuU
116,australian pop,https://embed.spotify.com/?uri=spotify:playlist:67qIuPZRX12l7yMpxBQpxs
117,indie soul,https://embed.spotify.com/?uri=spotify:playlist:2I4WRSnG0wVgkbSasDUqKp
118,boy band,https://embed.spotify.com/?uri=spotify:playlist:5MqoSHN1RNzdKd5T1QCN8S
119,rap francais,https://embed.spotify.com/?uri=spotify:playlist:0iWAjJOZQvLdbYeBDisvdT
120,vapor trap,https://embed.spotify.com/?uri=spotify:playlist:7o7kEPpjIe3yRRPbDFJSIR
121,banda,https://embed.spotify.com/?uri=spotify:playlist:6kFjZNVsJZVRGtjZsHbi5U
122,east coast hip hop,https://embed.spotify.com/?uri=spotify:playlist:61KJ6kPuE41yTp9SrHvWbZ
123,toronto rap,https://embed.spotify.com/?uri=spotify:playlist:5dNwPmkdZFN0PBpWnke6pp
124,sad rap,https://embed.spotify.com/?uri=spotify:playlist:2uM2IvAqc6HZmEiRjJBF6Q
125,social media pop,https://embed.spotify.com/?uri=spotify:playlist:0lXSqruCjvX1e7hw2KGvKw
126,german pop,https://embed.spotify.com/?uri=spotify:playlist:4pCmObKUeRQFFsF2nXu9t8
127,funk,https://embed.spotify.com/?uri=spotify:playlist:0MBvtOIm5fuBbRHEltDY8A
128,dark trap,https://embed.spotify.com/?uri=spotify:playlist:1lEZC1rWlusGF0IC6JxR5V
129,sad lo-fi,https://embed.spotify.com/?uri=spotify:playlist:1uN3iCLmAXg6rmS86SJM7g
130,hoerspiel,https://embed.spotify.com/?uri=spotify:playlist:6XDdeW5toilpyJXBi0Plxl
131,italian hip hop,https://embed.spotify.com/?uri=spotify:playlist:5kMRm3YJv7ZyX1VTmVZpdN
132,chill r&b,https://embed.spotify.com/?uri=spotify:playlist:60FHIWc8xWDuaUyPMlhPFm
133,pop soul,https://embed.spotify.com/?uri=spotify:playlist:0ShRnc2cyEyxkLbtZC4Yim
134,canadian contemporary r&b,https://embed.spotify.com/?uri=spotify:playlist:5wJb9tgSkHYu8lIXzallgA
135,folk,https://embed.spotify.com/?uri=spotify:playlist:4JuKjgd76AZn2fUaeXNCuo
136,disco,https://embed.spotify.com/?uri=spotify:playlist:0ZVSWcJIf7cvycEn9HUvps
137,rap metal,https://embed.spotify.com/?uri=spotify:playlist:6VKTnBP8zsyEmP1Sk7TvMm
138,pop r&b,https://embed.spotify.com/?uri=spotify:playlist:2BvxkVFgxGelSCrWV53I2o
139,pop edm,https://embed.spotify.com/?uri=spotify:playlist:5OFsiAHgwlYHB6XLK0kJ4p
140,piano rock,https://embed.spotify.com/?uri=spotify:playlist:5rVVQKO7UFXkwpt7jF1Ne4
141,progressive house,https://embed.spotify.com/?uri=spotify:playlist:3ApHTzZrOMqtDhnyiBSSci
142,puerto rican pop,https://embed.spotify.com/?uri=spotify:playlist:0KPfijR82jvlPTnt3Hmu2Q
143,trap argentino,https://embed.spotify.com/?uri=spotify:playlist:0t2kp4dTSFBUA8doPFtUuY
144,talent show,https://embed.spotify.com/?uri=spotify:playlist:1lMgl0D1HZVvtq16pB13ew
145,modern country rock,https://embed.spotify.com/?uri=spotify:playlist:01b3JSy4UfA2iiKodhAXse
146,lgbtq+ hip hop,https://embed.spotify.com/?uri=spotify:playlist:0njc7Pu7XGeU25wdaJRdLm
147,swedish pop,https://embed.spotify.com/?uri=spotify:playlist:6mvBNM74d828wcEy9Bpb46
148,bedroom pop,https://embed.spotify.com/?uri=spotify:playlist:339zjWDksACL7sNs2UehlX
149,escape room,https://embed.spotify.com/?uri=spotify:playlist:1BwLE6QTlmYAtosuvJcgY7
150,roots rock,https://embed.spotify.com/?uri=spotify:playlist:70fcjVBboCf2RrKXEMMMxl
151,argentine rock,https://embed.spotify.com/?uri=spotify:playlist:70yDbCeImYqhxCDRU0qXpd
152,corridos tumbados,https://embed.spotify.com/?uri=spotify:playlist:1CrWKL1wwHpcYQqLmQpHxH
153,sleep,https://embed.spotify.com/?uri=spotify:playlist:0cuaFpexE9V0zr3s7l6yjR
154,metalcore,https://embed.spotify.com/?uri=spotify:playlist:71kedeh6L7P0equUL0vOqe
155,k-pop girl group,https://embed.spotify.com/?uri=spotify:playlist:64KEXfUapxhkmiqKDsBrbN
156,uk dance,https://embed.spotify.com/?uri=spotify:playlist:5kDzf9eWk24U16EBkTDdpb
157,mpb,https://embed.spotify.com/?uri=spotify:playlist:0Fr9ysvU9XjFBMl4Rhl755
158,metropopolis,https://embed.spotify.com/?uri=spotify:playlist:70z5dMlsS9fPudWdQ9ebqP
159,electronica,https://embed.spotify.com/?uri=spotify:playlist:6I0NsYzfoj7yHXyvkZYoRx
160,punk,https://embed.spotify.com/?uri=spotify:playlist:17qQT0G3yFjOJ02wWZaNCw
161,ccm,https://embed.spotify.com/?uri=spotify:playlist:5prvXHLGfLtWJ7tB4W8Fvl
162,indonesian pop,https://embed.spotify.com/?uri=spotify:playlist:4VNawKxjIoJkE30Z9LbFzA
163,turkish pop,https://embed.spotify.com/?uri=spotify:playlist:4oKodlbJBRKSssO8LhsisY
164,progressive electro house,https://embed.spotify.com/?uri=spotify:playlist:6j9xPeEsHgCS1eZW0HsIsk
165,christian music,https://embed.spotify.com/?uri=spotify:playlist:1b1BPM9hp5Q0eI7yuGTaot
166,anime,https://embed.spotify.com/?uri=spotify:playlist:5fSZTu6aISl80OPrmGu79j
167,pagode,https://embed.spotify.com/?uri=spotify:playlist:2mL2d1k8Vxlf4P4q6JqcAv
168,heartland rock,https://embed.spotify.com/?uri=spotify:playlist:73X32zjxrkOSaroGsaCJKx
169,uk hip hop,https://embed.spotify.com/?uri=spotify:playlist:4Ek92zIh4Sq5IVU9Mgv7d6
170,alternative hip hop,https://embed.spotify.com/?uri=spotify:playlist:2kHQTJJWXc54i8mX8ndYdf
171,urbano espanol,https://embed.spotify.com/?uri=spotify:playlist:6gpELhsiYJyaL13srOlTMQ
172,indie r&b,https://embed.spotify.com/?uri=spotify:playlist:2xblssDewgd1AA5R7Lap6w
173,hardcore hip hop,https://embed.spotify.com/?uri=spotify:playlist:0iMt55EhVZULr9oClWtyOX
174,italian pop,https://embed.spotify.com/?uri=spotify:playlist:1otEUipmOvjOGGqvEHHxEy
175,alternative dance,https://embed.spotify.com/?uri=spotify:playlist:5LwcdWTCx2JoWeVVWOYsGj
176,mexican hip hop,https://embed.spotify.com/?uri=spotify:playlist:0zTflwpEJVMnCOSmExgS75
177,classical,https://embed.spotify.com/?uri=spotify:playlist:3HYK6ri0GkvRcM6GkKh0hJ
178,west coast rap,https://embed.spotify.com/?uri=spotify:playlist:3tSxvStT2zgdgPcTxLdI3g
179,mariachi,https://embed.spotify.com/?uri=spotify:playlist:5eAqREKMQTvNSVE3R8oVEj
180,rock-and-roll,https://embed.spotify.com/?uri=spotify:playlist:34bhxCaWrYi4kF67mNYiXW
181,beatlesque,https://embed.spotify.com/?uri=spotify:playlist:7DMAadYDfKZnsaZcDKFPK4
182,worship,https://embed.spotify.com/?uri=spotify:playlist:1auZ2gm318zSzLhrknJtVw
183,synthpop,https://embed.spotify.com/?uri=spotify:playlist:71wpwg8KzRxx240DcJx2EE
184,hollywood,https://embed.spotify.com/?uri=spotify:playlist:0V1QibeEirHFpZ68S37kGy
185,desi hip hop,https://embed.spotify.com/?uri=spotify:playlist:7hCUgCmtC02mQe4lUg5ZSs
186,turkish trap pop,https://embed.spotify.com/?uri=spotify:playlist:6O8py1VYpktcoAnKP3Qj0w
187,contemporary r&b,https://embed.spotify.com/?uri=spotify:playlist:1rlHnACGatHAOQrZ3WjEI3
188,big room,https://embed.spotify.com/?uri=spotify:playlist:70E7wtl8eL3IG2kpaWok6E
189,polish hip hop,https://embed.spotify.com/?uri=spotify:playlist:1DXuK8SBX4BNVEkZ4ifHBJ
190,french pop,https://embed.spotify.com/?uri=spotify:playlist:03csHhetcFo29YHV4Z9A3g
191,dance rock,https://embed.spotify.com/?uri=spotify:playlist:3PgRe3aEtNXhWm9GOUgOdG
192,opm,https://embed.spotify.com/?uri=spotify:playlist:2LfEVQ7ETewcpbNa2IVsH7
193,rap rock,https://embed.spotify.com/?uri=spotify:playlist:2xlyZ5SKttZHYxLU6o9mle
194,detroit hip hop,https://embed.spotify.com/?uri=spotify:playlist:7gIFgVQoSml3JocSRd2t4S
195,yacht rock,https://embed.spotify.com/?uri=spotify:playlist:1imbMwZYgwB2NCAVPkq5sZ
196,pop nacional,https://embed.spotify.com/?uri=spotify:playlist:4yf2dXdO6U7TVDXZMbm8nY
197,soundtrack,https://embed.spotify.com/?uri=spotify:playlist:2RmQ1WAONeEih0FWEK7CW5
198,argentine hip hop,https://embed.spotify.com/?uri=spotify:playlist:6tT2e2rcnpUrywDkmgSASj
199,deep house,https://embed.spotify.com/?uri=spotify:playlist:4ZRv1fFjjwpgAcosytT3bd
200,dirty south rap,https://embed.spotify.com/?uri=spotify:playlist:3l6M4SAmRg9L0DlalK76H8
201,british invasion,https://embed.spotify.com/?uri=spotify:playlist:4UptWIEPwIimCpCHayG4yZ
202,new french touch,https://embed.spotify.com/?uri=spotify:playlist:7m1pFx600mZCOuIsOoEIZW
203,folk-pop,https://embed.spotify.com/?uri=spotify:playlist:1RWc3d424qgjr8HTwCVh6A
204,dutch pop,https://embed.spotify.com/?uri=spotify:playlist:56vsjg8uIptImNUVOyXi5d
205,new americana,https://embed.spotify.com/?uri=spotify:playlist:7uSlfH4blWi70SZAtqAWbe
206,classic soul,https://embed.spotify.com/?uri=spotify:playlist:1eWqWLqf2wmssHJFvNLK2P
207,j-rock,https://embed.spotify.com/?uri=spotify:playlist:537P5gB83q9AmtDFdFNBLO
208,russian pop,https://embed.spotify.com/?uri=spotify:playlist:3C24egLjqcCmIMgfztqI2r
209,brooklyn drill,https://embed.spotify.com/?uri=spotify:playlist:6cKDwODDI0Cxba36w964fK
210,eurodance,https://embed.spotify.com/?uri=spotify:playlist:4jw4G9J55p7tXV2xEAGUj4
211,italian adult pop,https://embed.spotify.com/?uri=spotify:playlist:4APG0kwkbEt77VxOuqKCUl
212,world worship,https://embed.spotify.com/?uri=spotify:playlist:5KopCY959BEZz4oWcG9yNS
213,aesthetic rap,https://embed.spotify.com/?uri=spotify:playlist:2OY7wFfc4FIedjHBF95f9t
214,forro,https://embed.spotify.com/?uri=spotify:playlist:6aRR1ZmHR6ehjbhlsoctG1
215,jazz pop,https://embed.spotify.com/?uri=spotify:playlist:04AQGSIBVHZn3OTzLLZjlz
216,christian alternative rock,https://embed.spotify.com/?uri=spotify:playlist:3P1RRrVtaVLBTOvvNm8k8N
217,cantautor,https://embed.spotify.com/?uri=spotify:playlist:2KMAWk6brKSc3lVAsRZIMH
218,rap conscient,https://embed.spotify.com/?uri=spotify:playlist:3kYWjrbBEvI8n3bPI2ZRml
219,bolero,https://embed.spotify.com/?uri=spotify:playlist:40h91GpdbHja6VVsnetD0r
220,glam metal,https://embed.spotify.com/?uri=spotify:playlist:7yC6AO4CRgiFDjhYUkPUzX
221,cali rap,https://embed.spotify.com/?uri=spotify:playlist:4KxHxwmVq3Q7Gg9wkyOwzV
222,garage rock,https://embed.spotify.com/?uri=spotify:playlist:4Wnjv0bnb6Y7Il7WhEJC3x
223,new rave,https://embed.spotify.com/?uri=spotify:playlist:3ZlEqn2WSADG2wVMPhKHsd
224,australian dance,https://embed.spotify.com/?uri=spotify:playlist:3iiCEjJsCfkP18Xfqv9fZi
225,punjabi pop,https://embed.spotify.com/?uri=spotify:playlist:0a8gfAB5pIeR5x2ln5ARq0
226,melodic metalcore,https://embed.spotify.com/?uri=spotify:playlist:4PsFYH9aJDNjy7iwkWag7S
227,grupera,https://embed.spotify.com/?uri=spotify:playlist:1MBLuaTt9FmjgW3AVAlIKo
228,brazilian rock,https://embed.spotify.com/?uri=spotify:playlist:3nExI3KhiOs9fFobjdHzfj
229,j-poprock,https://embed.spotify.com/?uri=spotify:playlist:0Grl1cS6EIySP2ORk0ygYr
230,salsa,https://embed.spotify.com/?uri=spotify:playlist:58ELr3yC5uxg8QsQWD8Lmy
231,country pop,https://embed.spotify.com/?uri=spotify:playlist:1kmPba3K0wZwyVJXktgJii
232,brostep,https://embed.spotify.com/?uri=spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0
233,lo-fi beats,https://embed.spotify.com/?uri=spotify:playlist:5OzAgYmdiqJKWjGvX7cP4Q
234,funk metal,https://embed.spotify.com/?uri=spotify:playlist:6JqQli6WY1G043Mihy3MBp
235,otacore,https://embed.spotify.com/?uri=spotify:playlist:5UBQfw8fKxi6ADXxUdUT2K
236,classic uk pop,https://embed.spotify.com/?uri=spotify:playlist:1a8bmZL1UIDLb9XqSfgtws
237,melancholia,https://embed.spotify.com/?uri=spotify:playlist:6gB4lvhZqPfknvnw2iNwL6
238,mandopop,https://embed.spotify.com/?uri=spotify:playlist:4EIGwSoao5WkHd5YVP4CfG
239,mexican rock,https://embed.spotify.com/?uri=spotify:playlist:5FI68jaboLczr9zIUVfQPW
240,funk ostentacao,https://embed.spotify.com/?uri=spotify:playlist:47f23xvBayJUjEhAlUB7xS
241,trap triste,https://embed.spotify.com/?uri=spotify:playlist:1uE60pEQpaIgUT3T7Voloi
242,brazilian hip hop,https://embed.spotify.com/?uri=spotify:playlist:2CBOZqWolmSfOeXAo8mCFZ
243,trap queen,https://embed.spotify.com/?uri=spotify:playlist:24lpzMRS776gtph07QO0AK
244,memphis hip hop,https://embed.spotify.com/?uri=spotify:playlist:1rmskknWn4KPtEC6PHh2Rd
245,acoustic pop,https://embed.spotify.com/?uri=spotify:playlist:7vgw73gZZ5gAIxK2emsSPU
246,emo,https://embed.spotify.com/?uri=spotify:playlist:4eC7Sa1Xcy33lKn53gfiZb
247,florida rap,https://embed.spotify.com/?uri=spotify:playlist:5NELYHLIR9VEbXvj9h52vV
248,dfw rap,https://embed.spotify.com/?uri=spotify:playlist:6ze96fv5x3AklLyAqxPPv8
249,rockabilly,https://embed.spotify.com/?uri=spotify:playlist:5LNGaRZPGqluUQWQBY49WS
250,nova mpb,https://embed.spotify.com/?uri=spotify:playlist:6csaLz3wHWP7Mdl3x2tmxk
251,australian hip hop,https://embed.spotify.com/?uri=spotify:playlist:6wYuYcsFOmTuWnYqEalOhk
252,russian trap,https://embed.spotify.com/?uri=spotify:playlist:2NweJbjBo0jbtRgYOalUDO
253,symphonic rock,https://embed.spotify.com/?uri=spotify:playlist:7xy3Cy7QkWNgDjkntVvda8
254,dream pop,https://embed.spotify.com/?uri=spotify:playlist:2A5zN7OTP4n64gEtsFEO2Z
255,electronic trap,https://embed.spotify.com/?uri=spotify:playlist:2UZjomZ9r1O9gWyT3BLOZC
256,trance,https://embed.spotify.com/?uri=spotify:playlist:5vBxJ3Y2DbAna3xBJpGz0z
257,grunge,https://embed.spotify.com/?uri=spotify:playlist:2PNaFf1DInEl8NJSdkE4F4
258,queens hip hop,https://embed.spotify.com/?uri=spotify:playlist:0AxeQveEqk8X42sovBCls8
259,girl group,https://embed.spotify.com/?uri=spotify:playlist:0vgSCZFzrE0eId4bKI1NNt
260,chanson,https://embed.spotify.com/?uri=spotify:playlist:6IyBSGUEuApnT6miXVlKLf
261,german rock,https://embed.spotify.com/?uri=spotify:playlist:4g8qRc8jVOv6bQc4ybb0rF
262,outlaw country,https://embed.spotify.com/?uri=spotify:playlist:5D1IoXQGtdt84Mx8QvvSSY
263,meme rap,https://embed.spotify.com/?uri=spotify:playlist:6Aq8qvliiLbYnxkUbse6DT
264,vapor soul,https://embed.spotify.com/?uri=spotify:playlist:5jpKrLqZrBe4Mm375dcaye
265,plugg,https://embed.spotify.com/?uri=spotify:playlist:64APSYMq8SznNHfk8siTLw
